initialRegeneration,time,"If(Ko+Detected>0 || Rej>0,1,0)"
Ok Clock @ error|0 w|0,304,1.856297338
Ok Clock @ error|0 w|0,305,1.881678083
Ok Clock @ error|0 w|0,306,1.904210605
Ok Clock @ error|0 w|0,307,1.914110515
Ok Clock @ error|0 w|0,308,1.937877354
Ok Clock @ error|0 w|0,309,1.989236318
Ok Clock @ error|0 w|0,310,2.034567162
Ok Clock @ error|0 w|0,311,2.054290067
Ok Clock @ error|0 w|0,312,2.058998312
Ok Clock @ error|0 w|0,313,2.059778764
Ok Clock @ error|0 w|0,314,2.060056206
Ok Clock @ error|0 w|0,315,2.060299749
Ok Clock @ error|0 w|0,316,2.060535114
Ok Clock @ error|0 w|0,317,2.060764096
Ok Clock @ error|0 w|0,318,2.060988763
Ok Clock @ error|0 w|0,319,2.061211175
Ok Clock @ error|0 w|0,320,2.061433222
Ok Clock @ error|0 w|0,321,2.061656541
Ok Clock @ error|0 w|0,322,2.061882493
Ok Clock @ error|0 w|0,323,2.062112171
Ok Clock @ error|0 w|0,324,2.062346436
Ok Clock @ error|0 w|0,325,2.062585948
Ok Clock @ error|0 w|0,326,2.062831203
Ok Clock @ error|0 w|0,327,2.063082571
Ok Clock @ error|0 w|0,328,2.063340331
Ok Clock @ error|0 w|0,329,2.063604705
Ok Clock @ error|0 w|0,330,2.063875890
Ok Clock @ error|0 w|0,331,2.064154076
Ok Clock @ error|0 w|0,332,2.064439447
Ok Clock @ error|0 w|0,333,2.064732190
Ok Clock @ error|0 w|0,334,2.065032489
Ok Clock @ error|0 w|0,335,2.065340528
Ok Clock @ error|0 w|0,336,2.065656490
Ok Clock @ error|0 w|0,337,2.065980556
Ok Clock @ error|0 w|0,338,2.066312908
Ok Clock @ error|0 w|0,339,2.066653727
Ok Clock @ error|0 w|0,340,2.067003191
Ok Clock @ error|0 w|0,341,2.071820493
Ok Clock @ error|0 w|0,342,2.084565369
Ok Clock @ error|0 w|0,343,2.098689234
Ok Clock @ error|0 w|0,344,2.107237950
Ok Clock @ error|0 w|0,345,2.110517270
Ok Clock @ error|0 w|0,346,2.111542890
Ok Clock @ error|0 w|0,347,2.112024158
